,ts_code,trade_date,open,close,high,low,pre_close,change,pct_chg,vol,amount
332,000300.SH,20111128,2521.385,2595.0860000000002,2630.664,2507.1839999999997,2569.973,3.3480000000000003,0.1303,200145866.0,209481787.551
333,000300.SH,20111121,2573.321,2592.229,2617.0879999999997,2557.695,2606.495,3.1919999999999997,0.1225,137500793.0,151428923.441
334,000300.SH,20111114,2609.687,2746.7729999999997,2754.0009999999997,2587.742,2695.002,55.193000000000005,2.048,203343369.0,218712457.83200002
335,000300.SH,20111107,2750.195,2745.059,2756.091,2685.1009999999997,2763.7459999999996,-27.498,-0.995,228963553.0,238200799.58100003
336,000300.SH,20111031,2736.248,2672.508,2781.99,2653.722,2709.0170000000003,-13.71,-0.5061,311722269.0,323160435.412
337,000300.SH,20111024,2695.3070000000002,2572.708,2729.139,2560.047,2507.877,68.792,2.7430000000000003,301936223.0,299901963.83500004
338,000300.SH,20111017,2576.669,2646.841,2651.732,2500.486,2653.782,13.169,0.4962,186521380.0,184125308.608
339,000300.SH,20111010,2666.9509999999996,2625.163,2687.1020000000003,2523.344,2581.351,-24.269000000000002,-0.9402,245896992.0,242292097.809
340,000300.SH,20110926,2557.0820000000003,2634.925,2660.099,2552.284,2669.478,-58.559,-2.1936,166661066.0,171732395.33200002
341,000300.SH,20110919,2610.919,2675.0429999999997,2778.353,2603.1079999999997,2733.987,-54.717,-2.0014,210662860.0,220643525.912
342,000300.SH,20110905,2679.27,2727.7490000000003,2796.3520000000003,2677.127,2803.8540000000003,-60.037,-2.1412,261848943.0,287276233.271
343,000300.SH,20110829,2743.817,2875.1440000000002,2901.7329999999997,2743.383,2901.216,-48.407,-1.6685,166687249.0,189334973.07700002
344,000300.SH,20110822,2852.809,2788.699,2907.3979999999997,2777.2870000000003,2807.664,-29.877,-1.0641,230010876.0,255779813.51600003
345,000300.SH,20110815,2777.7870000000003,2920.829,2932.14,2768.4179999999997,2875.365,42.518,1.4787,208379078.0,233752405.735
346,000300.SH,20110808,2917.883,2720.953,2917.883,2697.062,2897.417,-103.52,-3.5728,304572559.0,342047634.467
347,000300.SH,20110801,2793.897,2958.85,2983.012,2747.967,2972.079,5.642,0.1898,231467058.0,283299740.578
348,000300.SH,20110725,2977.7209999999995,2965.7209999999995,3002.691,2948.0759999999996,3067.985,-99.696,-3.2496,220225255.0,264546863.066
349,000300.SH,20110711,3122.6,3089.136,3137.922,3054.8,3109.183,4.023,0.1294,293778919.0,377115855.8
350,000300.SH,20110704,3113.206,3122.899,3140.102,3084.834,3049.745,72.235,2.3686,300332755.0,378070166.704
351,000300.SH,20110627,3121.98,3040.183,3124.582,2999.953,3027.47,9.021,0.298,308976335.0,381237143.424
352,000300.SH,20110620,3036.491,2883.354,3056.023,2877.054,2892.157,-17.261,-0.5968,276373853.0,332718466.855
353,000300.SH,20110613,2874.896,2947.655,3000.526,2862.408,2961.932,-11.584,-0.3911,220677661.0,264757650.936
354,000300.SH,20110530,2950.348,2958.607,3012.806,2921.746,2963.308,-8.802,-0.297,377614033.0,464933448.43799996
355,000300.SH,20110523,2954.506,3013.715,3030.988,2942.361,3121.596,-98.616,-3.1592,195344460.0,244902827.34299996
356,000300.SH,20110516,3022.98,3097.071,3154.935,3021.45,3128.093,-27.63,-0.8833,228326765.0,283368252.50200003
357,000300.SH,20110509,3100.463,3135.146,3164.65,3080.19,3121.396,8.363,0.2679,229511299.0,288137952.942
358,000300.SH,20110425,3129.759,3242.529,3257.8,3083.908,3299.942,-50.368,-1.5263,515935871.0,632380551.4549999
359,000300.SH,20110418,3249.574,3334.912,3334.912,3247.691,3358.944,0.494,0.0147,372283959.0,476759466.972
360,000300.SH,20110411,3359.438,3324.754,3378.703,3296.507,3353.358,-19.931,-0.5944,443044583.0,544772818.901
361,000300.SH,20110328,3333.427,3288.564,3380.527,3210.174,3294.484,-3.913,-0.1188,680070294.0,914469308.2260001
362,000300.SH,20110321,3290.571,3217.8,3328.07,3175.93,3215.685,-8.575,-0.2667,375210792.0,527660572.2989999
363,000300.SH,20110314,3207.11,3250.595,3250.878,3147.957,3247.376,15.544,0.4787,381025811.0,529676077.589
364,000300.SH,20110307,3262.92,3335.71,3355.487,3230.114,3270.666,63.844,1.952,372015776.0,552233812.106
365,000300.SH,20110228,3334.51,3241.714,3337.466,3202.833,3197.617,41.942,1.3117,468898704.0,646659143.923
366,000300.SH,20110221,3239.559,3267.615,3269.048,3145.986,3211.876,46.032,1.4332,383925426.0,537274183.421
367,000300.SH,20110214,3257.908,3223.222,3265.257,3189.848,3120.956,98.187,3.1461,444631876.0,613655752.6800001
368,000300.SH,20110131,3219.143,3083.493,3227.432,3024.349,3036.735,39.773,1.3097,374138221.0,485779209.963
369,000300.SH,20110124,3076.508,2949.647,3076.547,2919.162,2983.456,-29.224,-0.9795,305063090.0,367607114.622
370,000300.SH,20110117,2954.232,2965.424,3045.605,2935.138,3091.862,-117.512,-3.8007,299158660.0,364827786.957
371,000300.SH,20110110,2974.35,3096.249,3157.036,2968.61,3166.624,-58.437,-1.8454,287580424.0,369775875.759
372,000300.SH,20101227,3108.187,3084.823,3209.9,3025.22,3162.955,-63.246,-1.9996,592314012.0,835124324.449
373,000300.SH,20101220,3099.709,3184.7,3263.45,3092.263,3225.661,-47.004,-1.4572,336259399.0,468045798.961
