,order_time,volume,price,amount,commision,total,cash,credit,market value,lever,back
70,20151223,67200,38.91773,2615271.456,2667.57688512,2617939.03288512,0.0,40250.73333646683,2575020.722663533,0.015631226957596108,-0.005989957104379995
71,20151228,-67200,37.276316,-2504968.4352,5060.036239104001,-2499908.3989608963,2459657.6656244295,0.0,2459657.6656244295,0.0,0.044800826658891846
72,20160413,102200,32.719301,3343912.5622,3410.7908134440004,3347323.353013444,0.0,875665.6873890148,2468246.8748109853,0.354772327000747,0.041465238284414174
73,20160420,-102200,31.810264000000004,-3251008.9808000005,6567.038141216001,-3244441.9426587843,2368776.2552697696,0.0,2368776.2552697696,0.0,0.08009429422394299
74,20160712,119600,32.731823,3914726.0308,3993.0205514159998,3918719.051351416,0.0,1540942.7960816463,2373783.2347183535,0.6491505936785662,0.07814985183382317
75,20160727,-119600,32.18243,-3849018.6279999996,7775.01762856,-3841243.6103714397,2300300.8142897934,0.0,2300300.8142897934,0.0,0.10668648448373519
76,20160815,117400,33.934239,3983879.6585999997,4063.5572517719997,3987943.2158517716,0.0,1684642.4015619783,2299237.2570380215,0.7326962001878,0.10709951310226673
77,20160825,-117400,33.089721,-3884733.2454,7847.161155708,-3876886.0842442918,2192243.6826823135,0.0,2192243.6826823135,0.0,0.14865008138081504
78,20161111,147900,34.172211000000004,5054070.0069,5155.151407038001,5059225.158307038,0.0,2857981.4756247248,2196088.5312752756,1.301396293875769,0.14715694831236148
79,20161114,146600,34.46861115000001,5053098.394590002,5154.160362481802,5058252.554952484,0.0,7916234.030577209,2234771.953097794,3.542300600114428,0.13213438112210396
80,20161123,145300,34.77442235000001,5052723.567455001,5153.778038804101,5057877.345493806,0.0,12974111.376071014,2319679.57345899,5.593061871353494,0.0991608133314068
81,20161124,144100,35.07442975000001,5054225.326975001,5155.3098335145005,5059380.6368085155,0.0,18033492.012879528,2446467.5181454755,7.371237050614785,0.04992317280658054
82,20161212,-583900,34.091794,-19906198.5166,40210.521003532005,-19865987.99559647,1835495.9827169403,0.0,1835495.9827169403,0.0,0.2871917625508069
83,20170324,148700,34.929616,5194033.899200001,5297.914577184,5199331.813777185,0.0,3354835.8310602447,1839198.068139756,1.8240753343404008,0.28575407104400363
84,20170330,-148700,34.36758,-5110459.146,10323.12747492,-5100136.01852508,1745300.1874648351,0.0,1745300.1874648351,0.0,0.3222189739663365
85,20170406,127500,35.140468999999996,4480409.797499999,4570.017993449999,4484979.81549345,0.0,2736679.6280286144,1743730.169471385,1.5694398571186297,0.3228286847852172
86,20170419,-127500,34.458761,-4393492.027500001,8874.853895550003,-4384617.173604451,1647937.5455758367,0.0,1647937.5455758367,0.0,0.36002940439591724
87,20170607,98000,35.338718,3463194.364,3532.45825128,3466726.82225128,0.0,1812789.2766754432,1650405.087324557,1.098390504608856,0.359071143467373
88,20170609,96800,35.761703000000004,3461732.8504000003,3530.9675074080005,3465263.8179074083,0.0,5278053.094582852,1688326.6498171492,3.126203744491317,0.34434444159704125
89,20170622,95900,36.1060269,3462567.97971,3531.8193393042,3466099.7990493043,0.0,8744152.893632157,1751869.1261978447,4.991327698439415,0.31966795032788786
90,20170626,94400,36.680919,3462678.7536000004,3531.9323286720005,3466210.6859286726,0.0,12210363.57956083,1915458.3273391724,6.374643293087277,0.2561386747373927
91,20171206,-385100,40.158211,-15464927.0561,31239.152653322,-15433687.903446678,3241324.3238858487,0.0,3241324.3238858487,0.0,-0.2587565977073416
92,20180115,155700,42.606395000000006,6633815.701500001,6766.4920155300015,6640582.193515532,0.0,3396257.869629683,3237557.8318703184,1.0490184410598418,0.0011620225682985597
93,20180119,154200,43.023033250000005,6634151.727150001,6766.8347616930005,6640918.561911694,0.0,10037176.431541376,3295661.572633626,3.045572553592169,-0.016763903675839353
94,20180123,151400,43.826129,6635275.930600001,6767.981449212,6642043.9120492125,0.0,16679220.343590587,3537772.9641094133,4.714610155258891,-0.07346366917229052
95,20180129,-461300,43.020181,-19845209.4953,40087.323180506,-19805122.172119495,3125901.828528907,0.0,3125901.828528907,0.0,0.11642101959592233
