,ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
178,000905.SH,20180403,6059.7089,6039.0675,6066.4443,6008.5085,6121.9642,-62.2553,-1.0169,71749883.0,87808371.28899999
179,000905.SH,20180402,6121.9642,6127.2334,6169.2991,6113.3388,6114.7382,7.226,0.1182,85433833.0,109910556.974
180,000905.SH,20180330,6114.7382,6052.1757,6115.2732,6051.0212,6034.8572,79.881,1.3237,73046489.0,94445331.821
181,000905.SH,20180329,6034.8572,5993.9722,6040.8623,5967.6342,5973.3414,61.5158,1.0298,68813735.0,82742504.256
182,000905.SH,20180328,5973.3414,5962.5642,6036.1584,5949.1042,6034.775,-61.4336,-1.018,75299094.0,90975268.229
183,000905.SH,20180327,6034.775,5956.2359,6043.0533,5956.2359,5902.9588,131.8162,2.2331,89199271.0,106538869.536
184,000905.SH,20180326,5902.9588,5715.3523,5902.9588,5675.3664,5787.1523,115.8065,2.0011,84772913.0,91809710.463
185,000905.SH,20180323,5787.1523,5913.3683,5978.4232,5722.773,6101.2276,-314.0753,-5.1477,121367061.0,121045067.671
186,000905.SH,20180322,6101.2276,6130.0482,6161.3749,6074.6568,6129.2042,-27.9766,-0.4564,67407441.0,78135866.72600001
187,000905.SH,20180321,6129.2042,6182.109,6224.5559,6125.1353,6173.6984,-44.4942,-0.7207,79487161.0,92526116.108
188,000905.SH,20180320,6173.6984,6109.605,6176.4962,6091.5038,6153.8339,19.8645,0.3228,67475662.0,78423733.546
189,000905.SH,20180319,6153.8339,6142.52,6186.6139,6118.2953,6146.3058,7.5281,0.1225,67233214.0,78681889.716
190,000905.SH,20180316,6146.3058,6181.3809999999985,6205.8679,6146.3058,6180.1108,-33.805,-0.547,65073534.0,75643387.216
191,000905.SH,20180315,6180.1108,6172.853,6203.2422,6117.5974,6189.316999999999,-9.2062,-0.1487,72173921.0,82975054.448
192,000905.SH,20180314,6189.316999999999,6234.2418,6253.172,6185.1784,6254.1457,-64.8287,-1.0366,75466633.0,87185225.281
193,000905.SH,20180313,6254.1457,6285.802,6297.4323,6251.3986,6295.7776,-41.6319,-0.6613,84804758.0,97523497.13
194,000905.SH,20180312,6295.7776,6230.8127,6295.7805,6230.3909,6206.9754,88.8022,1.4307,97662276.0,117237502.377
195,000905.SH,20180309,6206.9754,6131.1248,6211.2784,6131.0147,6131.5142,75.4612,1.2307,85928341.0,98413231.492
