,date,date_str,open,high,low,close,long_wave,short_wave,long_high,short_low,state,key_prices
214,736096.0,20160512,63.45,64.24,62.54,63.82,2.384545454545455,2.2030000000000007,71.65,63.02,0,63.67
215,736097.0,20160513,63.57,64.18,62.66,63.15,2.3629090909090915,2.1825000000000006,71.65,62.54,0,63.67
216,736100.0,20160516,62.5,63.78,62.5,63.47,2.3360000000000003,2.1910000000000016,71.65,62.54,0,63.67
217,736101.0,20160517,63.48,65.6,63.18,64.78,2.2305454545454557,2.1840000000000015,71.65,62.5,0,63.67
218,736102.0,20160518,64.5,64.5,62.5,62.86,2.22309090909091,2.211000000000001,71.65,62.5,0,63.67
219,736103.0,20160519,62.9,63.99,62.59,63.29,2.2036363636363645,2.2310000000000016,71.65,62.5,0,63.67
220,736104.0,20160520,63.0,63.8,62.58,63.5,2.184000000000001,1.8820000000000014,71.65,62.5,0,63.67
221,736107.0,20160523,63.53,64.18,63.5,63.9,2.160909090909092,1.7830000000000013,71.65,62.5,0,63.67
222,736108.0,20160524,63.9,63.99,63.0,63.25,2.1467272727272735,1.7125000000000015,71.65,62.5,0,63.67
223,736109.0,20160525,63.79,64.18,63.3,64.01,2.101818181818183,1.6720000000000017,71.65,62.5,0,63.67
224,736110.0,20160526,63.1,63.99,62.8,63.85,2.082545454545456,1.650500000000002,71.65,62.5,0,63.67
225,736111.0,20160527,63.05,64.88,63.01,64.27,2.053818181818183,1.6475000000000022,71.65,62.5,0,63.67
226,736114.0,20160530,64.25,64.88,63.89,64.35,2.052727272727274,1.649500000000002,71.65,62.5,0,63.67
227,736115.0,20160531,64.51,67.2,64.51,66.99,2.0492727272727285,1.571500000000001,71.65,62.5,0,63.67
228,736116.0,20160601,66.98,67.8,66.06,67.17,2.082909090909092,1.542500000000001,71.65,62.5,0,63.67
229,736117.0,20160602,67.19,69.0,67.19,68.49,2.0358181818181826,1.5665000000000007,71.65,62.5,0,63.67
230,736118.0,20160603,68.05,69.95,68.05,69.61,2.028000000000001,1.588000000000001,71.65,62.5,0,63.67
231,736121.0,20160606,69.61,73.88,69.6,73.0,2.006545454545456,1.5815000000000012,71.65,62.5,1,71.65
232,736122.0,20160607,73.06,73.99,71.01,73.19,2.038181818181819,1.6605000000000012,73.88,62.5,2,73.65654545454547
233,736123.0,20160608,48.47,48.47,46.4,47.8,2.0383636363636373,1.7575000000000003,73.99,62.5,0,48.47
234,736128.0,20160613,46.61,47.39,44.21,44.3,2.048727272727273,1.7805000000000004,73.99,46.4,0,48.47
235,736129.0,20160614,44.3,45.44,44.0,44.87,2.0614545454545463,1.8545000000000005,73.99,44.21,0,48.47
236,736130.0,20160615,44.8,46.9,44.3,46.68,2.054363636363637,1.8504999999999998,73.99,44.0,0,48.47
237,736131.0,20160616,46.48,46.68,45.43,45.74,2.0703636363636373,1.9164999999999999,73.99,44.0,0,48.47
238,736132.0,20160617,46.0,47.74,45.6,46.97,2.066363636363637,1.858,73.99,44.0,0,48.47
